07.12.2024   N1106
Îáðàçåö: "Âîëüôðàì"
LiF200
Òðóáêà: "40,0/0,100"
        Îòð1            Îòð2
   [ìÀ]  [Èìï/ñ]   [ìÀ]  [Èìï/ñ]
   2204    15,0    1104    11,0
   2206    28,0    1105     9,0
   2208    23,0    1106     8,0
   2210    19,0    1107     3,0
   2212    13,0    1108     5,0
   2214    23,0    1109     7,0
   2216    16,0    1110     7,0
   2218    14,0    1111     4,0
   2220    19,0    1112     5,0
   2222    10,0    1113     4,0
   2224    16,0    1114     4,0
   2226     9,0    1115     7,0
   2228    17,0    1116     6,0
   2230    22,0    1117     7,0
   2232    19,0    1118     9,0
   2234    15,0    1119     5,0
   2236    13,0    1120     2,0
   2238    16,0    1121     3,0
   2240    19,0    1122     3,0
   2242    10,0    1123     3,0
   2244    13,0    1124     4,0
   2246    10,0    1125     6,0
   2248    10,0    1126     6,0
   2250    15,0    1127     6,0
   2252     9,0    1128     5,0
   2254     9,0    1129    12,0
   2256    17,0    1130     8,0
   2258    13,0    1131     4,0
   2260    13,0    1132     3,0
   2262    16,0    1133     7,0
   2264    19,0    1134     8,0
   2266    16,0    1135     5,0
   2268    19,0    1136     4,0
   2270    10,0    1137     2,0
   2272    19,0    1138     6,0
   2274    12,0    1139     6,0
   2276    14,0    1140     3,0
   2278    18,0    1141     6,0
   2280    14,0    1142     8,0
   2282    17,0    1143     2,0
   2284    11,0    1144     6,0
   2286    18,0    1145     4,0
   2288    11,0    1146     0,0
   2290     9,0    1147     4,0
   2292    13,0    1148     3,0
   2294    11,0    1149     5,0
   2296    13,0    1150     6,0
   2298    14,0    1151     4,0
   2300    17,0    1152     6,0
   2302     6,0    1153     2,0
   2304    17,0    1154     3,0
   2306    20,0    1155     6,0
   2308    14,0    1156     3,0
   2310    16,0    1157     1,0
   2312    16,0    1158     3,0
   2314    12,0    1159     2,0
   2316    14,0    1160     1,0
   2318    16,0    1161     5,0
   2320    19,0    1162     3,0
   2322    13,0    1163     3,0
   2324     5,0    1164     2,0
   2326    10,0    1165     2,0
   2328    16,0    1166     3,0
   2330    15,0    1167     6,0
   2332    12,0    1168     6,0
   2334    21,0    1169     5,0
   2336    14,0    1170     7,0
   2338     8,0    1171     7,0
   2340    13,0    1172    11,0
   2342    16,0    1173     5,0
   2345    14,0    1174     9,0
   2347    19,0    1175    10,0
   2349    11,0    1176     9,0
   2351     9,0    1177    15,0
   2353     8,0    1178     3,0
   2355    14,0    1179     7,0
   2357    13,0    1180     1,0
   2359    11,0    1181     8,0
   2361    19,0    1182     6,0
   2363     9,0    1183     1,0
   2365     7,0    1184     2,0
