07.12.2024   N1106
Образец: "Осмич"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2541     7,0    1272     3,0
   2543     8,0    1273     9,0
   2545     5,0    1274     5,0
   2547     9,0    1275     4,0
   2549     3,0    1276     4,0
   2552     6,0    1277     4,0
   2554    10,0    1278     4,0
   2556    12,0    1279     2,0
   2558     4,0    1280     1,0
   2560    14,0    1281     4,0
   2562    10,0    1282     6,0
   2564     6,0    1283     3,0
   2566     9,0    1284     3,0
   2568     7,0    1285     3,0
   2570     3,0    1286     6,0
   2571     6,0    1287     4,0
   2573     7,0    1288     7,0
   2575     5,0    1289     6,0
   2577     6,0    1290     6,0
   2579    10,0    1291     2,0
   2581     8,0    1292     4,0
   2583     6,0    1293     3,0
   2585     7,0    1294     6,0
   2587     8,0    1295     3,0
   2589     5,0    1296     4,0
   2591     9,0    1297     3,0
   2594     5,0    1298     1,0
   2596     7,0    1299     4,0
   2598     3,0    1300     1,0
   2600     8,0    1301     4,0
   2602     3,0    1302     1,0
   2604     7,0    1303     2,0
   2606     6,0    1304     3,0
   2608     1,0    1305     4,0
   2610     6,0    1306     4,0
   2612     7,0    1307     5,0
   2614     2,0    1308     1,0
   2616     5,0    1309     3,0
   2618     1,0    1310     5,0
   2620     3,0    1311     4,0
   2622     3,0    1312     2,0
   2624     3,0    1313     4,0
   2626     5,0    1314     5,0
   2628     7,0    1315     4,0
   2630     9,0    1316     5,0
   2632     6,0    1317     3,0
   2634     1,0    1318     0,0
   2636     2,0    1319     3,0
   2638     5,0    1320     4,0
   2640     5,0    1321     7,0
   2642     5,0    1322     5,0
   2644     5,0    1323     5,0
   2646     4,0    1324     5,0
   2648     7,0    1325     8,0
   2650    11,0    1326     8,0
   2652    11,0    1327    11,0
   2654     2,0    1328     7,0
   2656    10,0    1329     5,0
   2658     4,0    1330     6,0
   2660     8,0    1331     5,0
   2662     3,0    1332     6,0
   2664     4,0    1333     4,0
   2666     2,0    1334     6,0
   2668     1,0    1335     2,0
   2670    11,0    1336     1,0
   2672     8,0    1337     8,0
   2674    11,0    1338     5,0
   2676     5,0    1339     9,0
   2678     6,0    1340     3,0
   2680    11,0    1341     7,0
   2682     1,0    1342     6,0
   2684     7,0    1343     3,0
   2686     4,0    1344     3,0
   2688     9,0    1345     3,0
   2690     5,0    1346     4,0
   2692     4,0    1347     5,0
   2694     4,0    1348     2,0
   2696     3,0    1349     3,0
   2698     6,0    1350     3,0
   2700     4,0    1351     4,0
   2702     4,0    1352     4,0
   2704     4,0    1353     1,0
   2706     4,0    1354     4,0
   2708     4,0    1355     5,0
   2710     3,0    1356     4,0
   2712     6,0    1357     4,0
   2714     6,0    1358     6,0
   2716     8,0    1359     6,0
   2718     4,0    1360     1,0
   2720     6,0    1361     3,0
   2722     1,0    1362     1,0
   2724     5,0    1363     4,0
   2726     7,0    1364     7,0
   2728     5,0    1365     6,0
   2730     6,0    1366     3,0
   2732     6,0    1367     5,0
   2734     3,0    1368     2,0
   2736     1,0    1369    13,0
   2738     4,0    1370     6,0
   2740     6,0    1371     4,0
   2742     7,0    1372     5,0
   2744     6,0    1373     1,0
   2746     4,0    1374     4,0
   2748     2,0    1375     8,0
   2750     9,0    1376     9,0
   2752     8,0    1377     8,0
   2754     6,0    1378     8,0
   2756     5,0    1379    10,0
   2758     5,0    1380     9,0
   2760     7,0    1381    16,0
   2762     9,0    1382    20,0
   2764     9,0    1383    36,0
   2766    13,0    1384    51,0
   2768    18,0    1385    89,0
   2770    13,0    1386     154
   2772    28,0    1387     258
   2775    28,0    1388     390
   2777    33,0    1389     397
   2779    48,0    1390     370
   2781    36,0    1391     277
   2783    27,0    1392     205
   2785    20,0    1393     112
   2787    15,0    1394    73,0
   2789     6,0    1395    42,0
   2791     2,0    1396    27,0
   2793     4,0    1397    24,0
   2795     7,0    1398    34,0
   2797     4,0    1399    48,0
   2799     6,0    1400    53,0
   2801     8,0    1401    62,0
   2803    11,0    1402    45,0
   2805     8,0    1403    30,0
   2807     7,0    1404    18,0
   2809     7,0    1405    13,0
   2811     5,0    1406     9,0
   2813     6,0    1407     8,0
   2815     6,0    1408     6,0
   2817     2,0    1409     8,0
   2819     6,0    1410     5,0
   2821     3,0    1411     5,0
   2823     3,0    1412     4,0
   2825     0,0    1413     3,0
   2827     2,0    1414     3,0
   2829     3,0    1415     6,0
   2831     2,0    1416     5,0
   2833     2,0    1417     6,0
   2835     6,0    1418     4,0
   2837     7,0    1419     3,0
   2839     3,0    1420     3,0
   2841     4,0    1421     4,0
   2843     2,0    1422     3,0
   2845     4,0    1423     5,0
   2847     2,0    1424     3,0
   2849     3,0    1425     2,0
   2851     4,0    1426     1,0
   2853     2,0    1427     6,0
   2855     4,0    1428     2,0
   2857     4,0    1429     4,0
   2859     5,0    1430     2,0
   2861    10,0    1431     5,0
   2863     4,0    1432     3,0
   2865     3,0    1433     0,0
   2867     5,0    1434     4,0
   2869     4,0    1435     5,0
   2871     2,0    1436     2,0
   2873     5,0    1437     2,0
   2875     3,0    1438     2,0
   2877     4,0    1439     5,0
   2879     2,0    1440     1,0
   2881     5,0    1441     4,0
   2883     4,0    1442     6,0
   2885     5,0    1443     3,0
   2887     5,0    1444     2,0
   2889     5,0    1445     2,0
   2891     3,0    1446     4,0
   2893     1,0    1447     4,0
   2895     6,0    1448     5,0
   2897     4,0    1449     7,0
   2899     3,0    1450     4,0
   2901     4,0    1451     2,0
   2903     6,0    1452     7,0
   2905     4,0    1453     5,0
   2907     4,0    1454     3,0
   2909     1,0    1455     2,0
   2911     2,0    1456     4,0
   2913     5,0    1457     2,0
   2915     2,0    1458     2,0
   2917     2,0    1459     5,0
   2919     2,0    1460     2,0
   2921     6,0    1461     3,0
   2923     5,0    1462     6,0
   2925     5,0    1463     7,0
   2927     8,0    1464     0,0
   2929     0,0    1465     2,0
   2931     1,0    1466     3,0
   2933     1,0    1467     5,0
   2935     2,0    1468     1,0
   2937     3,0    1469     1,0
   2939     3,0    1470     1,0
   2941     2,0    1471     2,0
   2943     0,0    1472     0,0
   2945     5,0    1473     4,0
   2947     5,0    1474     5,0
   2949     1,0    1475     5,0
   2951     3,0    1476     2,0
   2953     2,0    1477     2,0
   2955     2,0    1478     3,0
   2957     3,0    1479     1,0
   2959     1,0    1480     4,0
   2961     3,0    1481     2,0
   2963     3,0    1482     0,0
   2965     5,0    1483     3,0
   2967     3,0    1484     2,0
   2969     3,0    1485     2,0
   2971     1,0    1486     6,0
   2973     4,0    1487     1,0
   2975     4,0    1488     5,0
   2977     2,0    1489     1,0
   2979     3,0    1490     5,0
   2981     2,0    1491     5,0
   2983     1,0    1492     3,0
   2985     4,0    1493     2,0
   2987     3,0    1494     2,0
   2989     5,0    1495     2,0
   2991     4,0    1496     7,0
   2993     4,0    1497     3,0
   2995     1,0    1498     2,0
   2997     0,0    1499     4,0
   2999     0,0    1500     2,0
   3001     1,0    1501     1,0
   3003     2,0    1502     3,0
   3005     2,0    1503     1,0
   3007     3,0    1504     2,0
   3009     5,0    1505     1,0
   3011     3,0    1506     5,0
   3013     1,0    1507     4,0
   3015     5,0    1508     2,0
   3017     0,0    1509     3,0
   3019     3,0    1510     1,0
   3021     1,0    1511     6,0
   3023     1,0    1512     1,0
   3025     7,0    1513     3,0
   3027     1,0    1514     5,0
   3029     0,0    1515     0,0
   3031     1,0    1516     2,0
   3033     1,0    1517     3,0
   3035     1,0    1518     2,0
   3037     2,0    1519     4,0
   3039     0,0    1520     4,0
   3041     0,0    1521     2,0
   3043     3,0    1522     2,0
   3045     3,0    1523     7,0
   3047     2,0    1524     2,0
   3049     2,0    1525     2,0
   3051     3,0    1526     4,0
   3053     5,0    1527     2,0
   3055     2,0    1528     0,0
   3057     1,0    1529     2,0
   3059     5,0    1530     4,0
   3061     1,0    1531     4,0
   3063     0,0    1532     2,0
   3065     6,0    1533     4,0
   3067     1,0    1534     3,0
   3069     3,0    1535     6,0
   3071     2,0    1536     5,0
   3073     2,0    1537     9,0
   3075     2,0    1538    11,0
   3077     0,0    1539     3,0
   3079     1,0    1540     8,0
   3081     0,0    1541    10,0
   3083     1,0    1542     6,0
   3085     1,0    1543     5,0
   3087     2,0    1544    10,0
   3089     1,0    1545     5,0
   3091     3,0    1546     3,0
   3093     1,0    1547     5,0
   3095     2,0    1548     4,0
   3097     1,0    1549     4,0
   3099     0,0    1550     2,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
