07.12.2024   N1106
Образец: "Рений"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2194    19,0    1099    10,0
   2196    24,0    1100     8,0
   2198    17,0    1101    10,0
   2200    18,0    1102    12,0
   2202    21,0    1103     9,0
   2204    23,0    1104     8,0
   2206    20,0    1105     7,0
   2208    16,0    1106     5,0
   2210    17,0    1107     5,0
   2212    16,0    1108     7,0
   2214    12,0    1109     7,0
   2216    21,0    1110     5,0
   2218    10,0    1111     5,0
   2220    10,0    1112     3,0
   2222    23,0    1113     8,0
   2224    21,0    1114     3,0
   2226    27,0    1115     6,0
   2228    14,0    1116     6,0
   2230    23,0    1117     7,0
   2232    11,0    1118     2,0
   2234    19,0    1119     3,0
   2236    15,0    1120     4,0
   2238    13,0    1121     8,0
   2240    23,0    1122     5,0
   2242    15,0    1123     4,0
   2244    13,0    1124     3,0
   2246    17,0    1125     6,0
   2248    12,0    1126     7,0
   2250    22,0    1127     4,0
   2252    13,0    1128     4,0
   2254    17,0    1129     1,0
   2256    19,0    1130     4,0
   2258    15,0    1131     5,0
   2260    13,0    1132     6,0
   2262    18,0    1133     8,0
   2264    17,0    1134     9,0
   2266     8,0    1135     5,0
   2268    17,0    1136     6,0
   2270    11,0    1137     4,0
   2272    17,0    1138     3,0
   2274    19,0    1139     6,0
   2276    23,0    1140     7,0
   2278    14,0    1141     5,0
   2280    14,0    1142     6,0
   2282    14,0    1143     5,0
   2284    13,0    1144     8,0
   2286    22,0    1145     7,0
   2288    10,0    1146     4,0
   2290    14,0    1147     5,0
   2292    16,0    1148     3,0
   2294    10,0    1149     6,0
   2296    13,0    1150     3,0
   2298    16,0    1151    11,0
   2300    17,0    1152     0,0
   2302     7,0    1153     8,0
   2304    15,0    1154     7,0
   2306    15,0    1155     6,0
   2308     8,0    1156     4,0
   2310     8,0    1157     4,0
   2312    11,0    1158     8,0
   2314    11,0    1159     5,0
   2316    16,0    1160     8,0
   2318    11,0    1161     6,0
   2320    13,0    1162    10,0
   2322    14,0    1163     5,0
   2324     9,0    1164     6,0
   2326     7,0    1165     8,0
   2328    13,0    1166     8,0
   2330    19,0    1167     8,0
   2332     6,0    1168     7,0
   2334    15,0    1169     9,0
   2336    19,0    1170     8,0
   2338    10,0    1171    11,0
   2340    15,0    1172     9,0
   2342    18,0    1173    12,0
   2345    23,0    1174    20,0
   2347    18,0    1175    12,0
   2349    15,0    1176    15,0
   2351    11,0    1177    12,0
   2353    19,0    1178    16,0
   2355    15,0    1179     8,0
   2357    14,0    1180     8,0
   2359    15,0    1181    14,0
   2361     9,0    1182     9,0
   2363    14,0    1183     6,0
   2365    13,0    1184     4,0
   2367    16,0    1185    13,0
   2369    14,0    1186    14,0
   2371    10,0    1187     6,0
   2373     8,0    1188     3,0
   2375     6,0    1189     7,0
   2377    10,0    1190     9,0
   2379     6,0    1191    10,0
   2381    14,0    1192    10,0
   2383     8,0    1193     4,0
   2385    17,0    1194    13,0
   2387     6,0    1195    18,0
   2389    14,0    1196    13,0
   2391     9,0    1197    25,0
   2393    13,0    1198    37,0
   2395    14,0    1199    52,0
   2397    15,0    1200    73,0
   2399    12,0    1201    85,0
   2401    27,0    1202     116
   2403    28,0    1203     168
   2405    34,0    1204     167
   2407    25,0    1205     149
   2409    22,0    1206     150
   2411    21,0    1207     131
   2413    12,0    1208    96,0
   2415    23,0    1209    81,0
