07.12.2024   N1106
Образец: "Ртуть"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2077    20,0    1041    67,0
   2079    32,0    1042    75,0
   2081    28,0    1043    70,0
   2083    27,0    1044    90,0
   2085    25,0    1045    85,0
   2087    27,0    1046     114
   2089    28,0    1047     113
   2091    35,0    1048    73,0
   2093    23,0    1049    60,0
   2095    20,0    1050    63,0
   2097    18,0    1051    41,0
   2099    32,0    1052    31,0
   2101    16,0    1053    27,0
   2103    18,0    1054    27,0
   2105    17,0    1055    25,0
   2107    14,0    1056    17,0
   2109    19,0    1057    16,0
   2111    22,0    1058    23,0
   2113    13,0    1059    15,0
   2115    16,0    1060    15,0
   2117    16,0    1061    12,0
   2119    23,0    1062    11,0
   2121    26,0    1063    18,0
   2123    15,0    1064    12,0
   2125    16,0    1065    18,0
   2127    20,0    1066    16,0
   2129    20,0    1067    12,0
   2131    15,0    1068    21,0
   2133    11,0    1069    13,0
   2135    15,0    1070    14,0
   2137    16,0    1071    21,0
   2139    20,0    1072    19,0
   2141    17,0    1073    11,0
   2143    14,0    1074    24,0
   2145    14,0    1075    11,0
   2147    10,0    1076    10,0
   2149    19,0    1077    16,0
   2151    13,0    1078    14,0
   2153    20,0    1079    14,0
   2155    17,0    1080    11,0
   2158    15,0    1081     6,0
   2160    13,0    1082     9,0
   2162    19,0    1083     6,0
   2164    21,0    1084    14,0
   2166    20,0    1085    12,0
   2168     5,0    1086    16,0
   2170    11,0    1087    12,0
   2172    17,0    1088    14,0
   2174    11,0    1089    17,0
   2176    20,0    1090     7,0
   2178     5,0    1091    13,0
   2180     9,0    1092     5,0
   2182    13,0    1093     8,0
   2184     9,0    1094    17,0
   2186    25,0    1095    13,0
   2188    15,0    1096    16,0
   2190    17,0    1097    11,0
   2192    19,0    1098    18,0
   2194    15,0    1099    12,0
   2196    25,0    1100    13,0
   2198    29,0    1101    14,0
   2200    18,0    1102    10,0
   2202     9,0    1103    12,0
   2204    21,0    1104     9,0
   2206    20,0    1105    17,0
   2208    20,0    1106     7,0
   2210    13,0    1107    17,0
   2212    18,0    1108    16,0
   2214    14,0    1109    15,0
   2216    16,0    1110     9,0
   2218    13,0    1111    17,0
   2220    11,0    1112    19,0
   2222    14,0    1113     9,0
