07.12.2024   N1106
Образец: "Платина"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2334     7,0    1169     8,0
   2336    12,0    1170     6,0
   2338    12,0    1171     9,0
   2340    14,0    1172     9,0
   2342    10,0    1173    20,0
   2345    12,0    1174     7,0
   2347    11,0    1175    16,0
   2349    12,0    1176    13,0
   2351    16,0    1177    12,0
   2353    11,0    1178    10,0
   2355    14,0    1179    12,0
   2357    12,0    1180     1,0
   2359    13,0    1181     8,0
   2361    14,0    1182     7,0
   2363    15,0    1183     6,0
   2365     9,0    1184     9,0
   2367    19,0    1185     4,0
   2369     8,0    1186     6,0
   2371    12,0    1187     4,0
   2373    17,0    1188    11,0
   2375    25,0    1189    10,0
   2377    12,0    1190    10,0
   2379    12,0    1191    10,0
   2381    13,0    1192     3,0
   2383    14,0    1193     5,0
   2385    18,0    1194     7,0
   2387    10,0    1195     5,0
   2389    12,0    1196     3,0
   2391     8,0    1197     2,0
   2393     8,0    1198    10,0
   2395     9,0    1199     4,0
   2397    18,0    1200     5,0
   2399     9,0    1201    11,0
   2401    15,0    1202     9,0
   2403    11,0    1203     5,0
   2405     9,0    1204     7,0
   2407    10,0    1205     9,0
   2409    13,0    1206     6,0
   2411     8,0    1207     7,0
   2413     7,0    1208     4,0
   2415    18,0    1209     7,0
   2417     8,0    1210     5,0
   2419     6,0    1211     8,0
   2421    11,0    1212     9,0
   2423    15,0    1213     6,0
   2425    14,0    1214     4,0
   2427    16,0    1215     9,0
   2429    12,0    1216     5,0
   2431    11,0    1217     4,0
   2433     8,0    1218     5,0
   2435    13,0    1219    10,0
   2437     7,0    1220     6,0
   2439     9,0    1221     5,0
   2441    11,0    1222     5,0
   2443    12,0    1223     7,0
   2445    12,0    1224     4,0
   2447    13,0    1225     5,0
   2449    12,0    1226     5,0
   2451     9,0    1227     3,0
   2453    11,0    1228     7,0
   2455     8,0    1229    12,0
   2457    15,0    1230     3,0
   2459     9,0    1231    11,0
   2461     9,0    1232     5,0
   2463     9,0    1233     7,0
   2465     9,0    1234     7,0
   2467     7,0    1235    14,0
   2469     7,0    1236    10,0
   2471    11,0    1237     9,0
   2473     5,0    1238    11,0
   2475     7,0    1239    10,0
   2477    13,0    1240    15,0
   2479    10,0    1241    20,0
   2481    15,0    1242    11,0
   2483     4,0    1243    17,0
   2485    13,0    1244    12,0
   2487    14,0    1245     9,0
   2489     9,0    1246    11,0
   2491     7,0    1247     6,0
   2493    13,0    1248     6,0
   2495    10,0    1249     2,0
   2497    13,0    1250     8,0
   2499     8,0    1251     5,0
   2501     8,0    1252     8,0
   2503     8,0    1253     6,0
   2505    10,0    1254     5,0
   2507     6,0    1255     8,0
   2509    10,0    1256     3,0
   2511     7,0    1257     7,0
   2513    12,0    1258     4,0
   2515     9,0    1259     7,0
   2517    15,0    1260     9,0
   2519     9,0    1261     6,0
   2521     8,0    1262     6,0
   2523     8,0    1263     8,0
   2525     6,0    1264     3,0
   2527     8,0    1265     6,0
   2529     3,0    1266     4,0
   2531     5,0    1267     7,0
   2533     7,0    1268     7,0
   2535     3,0    1269     5,0
   2537     8,0    1270     8,0
   2539    12,0    1271     8,0
   2541     6,0    1272     4,0
   2543     6,0    1273     2,0
   2545    13,0    1274     4,0
   2547     3,0    1275     6,0
   2549     7,0    1276    10,0
   2552     8,0    1277     6,0
   2554     9,0    1278     2,0
   2556     6,0    1279     7,0
   2558     5,0    1280     6,0
   2560     9,0    1281     6,0
   2562    12,0    1282     5,0
   2564     7,0    1283     6,0
   2566     5,0    1284     3,0
   2568     5,0    1285     2,0
   2570     8,0    1286     5,0
   2571     8,0    1287     5,0
   2573     8,0    1288     3,0
   2575     6,0    1289     9,0
   2577    11,0    1290     4,0
   2579     9,0    1291     7,0
   2581     6,0    1292     6,0
   2583     9,0    1293     5,0
   2585     7,0    1294    10,0
   2587    10,0    1295     8,0
   2589    11,0    1296     8,0
   2591    10,0    1297    10,0
   2594     7,0    1298     8,0
   2596     6,0    1299    12,0
   2598    10,0    1300    11,0
   2600     8,0    1301    20,0
   2602    13,0    1302    26,0
   2604    12,0    1303    27,0
   2606     6,0    1304    55,0
   2608    20,0    1305    90,0
   2610    23,0    1306     110
   2612    22,0    1307     211
   2614    33,0    1308     273
   2616    49,0    1309     459
   2618    55,0    1310     617
   2620    60,0    1311     554
   2622    48,0    1312     469
   2624    42,0    1313     411
   2626    49,0    1314     299
   2628    25,0    1315     247
   2630    23,0    1316     136
   2632    18,0    1317    87,0
   2634     7,0    1318    51,0
   2636    16,0    1319    53,0
   2638     9,0    1320    48,0
   2640     7,0    1321    91,0
   2642    15,0    1322    71,0
   2644    13,0    1323    73,0
   2646    17,0    1324    45,0
   2648    12,0    1325    44,0
   2650    12,0    1326    37,0
   2652     8,0    1327    22,0
   2654    11,0    1328    16,0
   2656     9,0    1329    17,0
   2658     7,0    1330    11,0
   2660    12,0    1331    11,0
   2662     6,0    1332     9,0
   2664     5,0    1333     5,0
   2666    11,0    1334     3,0
   2668     7,0    1335     3,0
   2670     4,0    1336     6,0
   2672     7,0    1337     4,0
   2674     7,0    1338     8,0
   2676     5,0    1339     5,0
   2678    11,0    1340     4,0
   2680     2,0    1341     7,0
   2682     8,0    1342     4,0
   2684    10,0    1343     5,0
   2686     6,0    1344     9,0
   2688    10,0    1345     4,0
   2690     5,0    1346     5,0
   2692     6,0    1347     4,0
   2694     3,0    1348    10,0
   2696     7,0    1349     2,0
   2698     9,0    1350     5,0
   2700     8,0    1351     9,0
   2702     9,0    1352     3,0
   2704    10,0    1353     3,0
   2706     9,0    1354     3,0
   2708     5,0    1355     9,0
   2710     5,0    1356     6,0
   2712     3,0    1357     7,0
   2714     8,0    1358     3,0
   2716     9,0    1359     3,0
   2718     8,0    1360     5,0
   2720    13,0    1361     5,0
   2722     7,0    1362     4,0
   2724     3,0    1363     4,0
   2726     3,0    1364     5,0
   2728     8,0    1365     5,0
   2730     5,0    1366     4,0
   2732     7,0    1367     3,0
   2734     8,0    1368     4,0
   2736    10,0    1369     7,0
   2738     6,0    1370     6,0
   2740     7,0    1371     4,0
   2742     5,0    1372     4,0
   2744    11,0    1373     7,0
   2746    12,0    1374     2,0
   2748     8,0    1375     6,0
   2750     4,0    1376     0,0
   2752     7,0    1377     3,0
   2754     7,0    1378     2,0
   2756     7,0    1379     1,0
   2758     6,0    1380     2,0
   2760     7,0    1381     6,0
   2762     9,0    1382     3,0
   2764     6,0    1383     6,0
   2766     7,0    1384     7,0
   2768     4,0    1385     4,0
   2770     7,0    1386     6,0
   2772     2,0    1387     6,0
   2775     8,0    1388     3,0
   2777     7,0    1389     7,0
   2779    10,0    1390     9,0
   2781     7,0    1391     3,0
   2783     8,0    1392     3,0
   2785     6,0    1393     6,0
   2787     7,0    1394     3,0
   2789     7,0    1395     4,0
   2791     6,0    1396     5,0
   2793     5,0    1397     5,0
   2795     3,0    1398     7,0
   2797     2,0    1399     5,0
   2799    15,0    1400     7,0
   2799     0,0    1400     0,0
   2804     0,0    1403     0,0
   2809     0,0    1405     0,0
   2814     0,0    1408     0,0
   2819    33,6    1410     0,0
   2824     0,0    1413     0,0
   2829     0,0    1415     0,0
   2834    33,6    1418     0,0
   2839     0,0    1420     0,0
   2844     0,0    1422    33,6
   2849     0,0    1425     0,0
   2854     0,0    1427     0,0
   2859     0,0    1430     0,0
   2864     0,0    1432     0,0
   2869     0,0    1435     0,0
   2874    33,6    1437     0,0
   2879     0,0    1440     0,0
   2884     0,0    1442     0,0
   2889     0,0    1445     0,0
   2894     0,0    1447     0,0
   2899     0,0    1450     0,0
   2904     0,0    1452     0,0
   2909    33,6    1455     0,0
   2914     0,0    1457     0,0
   2919     0,0    1460    33,6
   2924     0,0    1462     0,0
   2929     0,0    1465     0,0
   2934     0,0    1467     0,0
   2939     0,0    1470     0,0
   2944     0,0    1472     0,0
   2949     0,0    1475     0,0
   2954     0,0    1477    33,6
   2959     0,0    1480     0,0
   2964     0,0    1482     0,0
   2969     0,0    1485     0,0
   2974     0,0    1487     0,0
   2979    33,6    1490     0,0
   2984    33,6    1492     0,0
   2989     0,0    1495     0,0
   2994     0,0    1498    33,6
   2999    33,6    1500     0,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
   3019    33,6    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049     0,0    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533     0,0
   3069     0,0    1535     0,0
   3074     0,0    1538    33,6
   3079     0,0    1540     0,0
   3084     0,0    1543    33,6
   3089     0,0    1545     0,0
   3094     0,0    1548     0,0
   3099     0,0    1550     0,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119     0,0    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144     0,0    1573     0,0
   3149     0,0    1575     0,0
